아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
sPKTjEPr,상위 10%,24.07.03,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,48kg,상의 44,"같이 입으려고 샀는데 옷 색감 무슨일,,,진짜 블루그레이 그자체네요 색감 너무 이쁘고 한쪽은 숄더로 내려가게끔 만들어져있어서 오히려 편해요 가성비 넘 좋고 쫀쫀합니당 다른색도 사려고요 ㅎㅎ"
qkrt******,,24.07.02,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,173cm,58kg,상의 66,"일단 색이 정말 예뻐요!
하늘과 보라 사이 흰끼 섞인 색?
여름쿨한테 형광등 색입니다
저는 상체가 너무 짧아서 딱 붙는거 싫어하는데 허리 라인을 잘 잡아주지만, 부담스러울 정도가 아니라서 좋아요~!"
R2qHVlpC,,24.07.02,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,핑크색을 사고싶었지만 .. 많이 웜해보여서 ..쌉겨쿨이라 .. 블루그레이를 샀는데 색상도 예쁘고 시원해보이고 실제로 재질도 시원해서 ㅎ 만족해요! 셔링이 날씬해보이게 해줘요 여쿨분들이 입으면 더 예쁠 것 같지만 이정도면 겨쿨도 충분히 가능!
QKmff2Bn,,24.07.02,Cream,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,친구가 입은거 보고 너무 이뻐서 따라 삿어여 색감도 맘에 들고 어깨가 잘 올라오지 않고 이쁙 ㅔ유지됩니다소재도 빨아도 잘 늘어나지 않을거 같은 약간 골지?같은 느낌이에요 맘에 들어요!! 다른 색도 사고 싶어요
CxGAFkmc,상위 10%,24.07.01,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,상의44반 47kg에요. 왼쪽 어깨는 가려지고 오른쪽을 내리는 스타일이라서 맘에 들어요. 타이트하지 않고 여리하게 핏되어 좋아요. 색도 진하지 않아서 슬랙스에도 잘 어울릴거 같아요 하객룩으로도 좋을거 같아요. 블랙도 추가 구매하고 싶네요.
AgVeKmON,,25.01.14,Blue Gray,Free,정사이즈예요,보통이에요,화면보다 어두워요,165cm,60kg,상의 66,쿨톤인데 생각보다 제가 생각했던 파랭이는 아니에요! 좀 다크하고 칙칙한 하늘색...? 그래도 디자인이 흔하지 않고 바스트도 딱 잡아줘서 잘 입을거같아여
aph03cgs,,24.10.19,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,상의 66,,오랜만에 오프숄더가 입고싶어서 과하지 않은 걸로 찾다가 구매했는데 언발란스라 부담스럽지 않고 셔링이 있어서 너무 타이트하지 않게 적당한 핏으로 예쁘게 입을 수 있어요~
qEfE89Dq,,24.10.09,Pink,Free,정사이즈예요,보통이에요,화면과 비슷해요,162cm,65kg,상의 66,여성스럽고 예뻐서 여행 내내 잘 입고 다녔어요. 딱 붙는 스타일이라서 살을 더 빼면 예쁘겠지만 충분히 만족했습니다! 팔이 얇은분이 입으면 더 예쁠것 같아요
TeZdE1WX,,24.10.09,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,53kg,상의 55,"크림 컬러 구매 후 재구매
블루 한방울 들어간 그레이에요~
블루느낌이 조금 더 있었으면 좋았을 것 같지만
만족합니다🙂"
tMrRA13O,,24.10.07,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,50kg,상의 55,도쿄 디즈니 랜드 가서 입옸ㄴ는데 너무 여리여리 하고 만족했어요 팔뚝이 조금 있는 편인데 팔뚝 커버가 가능해서 더 만족 했던 제품이에요 다른 색도 구매했습니다
