아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
sKE1mGqH,,20.12.28,오트밀,기모,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,조거팬츠 세트 계속 찾다가 발견한 이아이 너무 만족합니당!! 두껍고 핏도 이뻐요 추천해욤
NEG3O5XD,,20.12.09,오트밀,기모,생각보다 커요,보통이에요,화면과 비슷해요,158cm,44kg,상의 44,"맨투맨 안에 기모때문에 따뜻하고 오트밀색도 사진이랑 똑같았어요!! 옷 소재도 좋습니다 ㅎㅎ
맨투맨 사이즈가 조금 크긴했어요!"
RLwftEgB,,20.11.03,아이보리,,생각보다 커요,보통이에요,화면과 비슷해요,156cm,50kg,상의 55,"조금 크긴한데 예뻐요 편하게 잘 입을거 같아요
블랙 화이트 고민했는데 예쁘네요"
5JeJUnfM,,20.10.30,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,56kg,상의 55,"가볍게 입기 좋고
색도 안촌스러운 그레이에요
바지도 얼른 왔으면 좋겠네요
아이보리도 구매하고싶네요"
YMG7BtZT,,20.10.04,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,53kg,상의 55,소재가 탄탄해서 오래 입을 수 있을거 같아요! 그리고 사이즈도 넉넉하고 옷이 따뜻해서 편하게 입고 다닐거 같아요😊
vxpyvXiB,,20.04.09,메란지,,생각보다 커요,보통이에요,화면과 비슷해요,161cm,51kg,상의 55,"부분배송 해주셨으면좋았을텐데ㅠㅠ
묶음으로와서 넘오래걸렸어요ㅜㅜ 맨투맨은 좀 낙낙하게 많이크긴하지만 엉덩이덮는기장이라 좋아요~"
AR2Fp2g5,,23.09.17,그레이 (Gray),Free,정사이즈예요,보통이에요,화면과 비슷해요,161cm,49kg,상의 55,할인하자마자 바로 사고 친언니한테도 추천해줬어요ㅋㅋㅎ작년에 세트로 사고 나서 마음에 들었거든요! 싼가격에 산거 같아 기분이 좋아요 잘 입을게여~~
fUze1lZC,,23.09.01,아이보리 (Ivory),Free,정사이즈예요,보통이에요,화면과 비슷해요,168cm,51kg,상의 55,"60퍼 세일에 직진배송, 안살이유가 없네요. 올 가을 잘입어볼께요. 휘뚜루 입기좋고 가성비 좋아 부담도 없어요. 다른컬러도 내주세요"
mBtpCLjU,,23.06.28,메란지,일반,작아요,보통이에요,화면과 비슷해요,162cm,54kg,상의 55,저 이 시리즈 조거 3개나 구매할 정도로 좋아했는데 왜 얘만 이런지 알겠어요 ㅠ... 목은 좁고 타이트하고 핏은 어벙벙 세일때 안샀으면 후회할뻔 했어요....
찌야,상위 10%,22.10.21,오트밀,일반,정사이즈예요,보통이에요,화면과 비슷해요,161cm,47kg,상의 55,"가갹대비 최고예용 !! 
믿고보는 트렌디 ㅎㅎ
기모버전도 사야겠아용 ㅎㅎ
잘입을게요!!>.<"
Pwq1vB08,상위 25%,22.03.30,그레이,일반,정사이즈예요,아주 만족해요,화면과 비슷해요,176cm,61kg,상의 55,바지사면서 셋트로 샀는데 같이 사길 잘했어요. 편하고 좋아요. 사이즈도 적당히 넉넉해서 더 좋은것같아요.
