아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
ASTQymkU,상위 5%,24.08.21,애쉬그레이 Gray,,정사이즈예요,보통이에요,화면과 비슷해요,165cm,63kg,상의 66,"저렴하게 잘 구매했습니다
여름니트로 항상 구매하는 라인인데
그레이컬러 참 예쁘네요
실제는 조금 더 밝은 느낌이에용!
예뻐요"
OZqcyxlA,,24.08.20,라이트그린 Light green,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,50kg,상의 44,특성상 소매가 좀 흘러내리긴 하는데 여리여리해 보여서 오히려 좋음 의외로 그렇게 비치지도 않고 컬러도 이쁘고 너무 좋아여
vzjWKF3z,,24.08.18,소라 Sky blue,,생각보다 커요,아주 만족해요,화면과 비슷해요,162cm,49kg,상의 55,"핏 여리여리해서 너무 예뻐요
가격대비 질 좋고 오래 입을 수 있을것같아요
ㅎㅎ
남은 여름 바다갈 때 입기 좋습니당~~"
XvFvhXfT,,24.08.18,라이트그린 Light green,,생각보다 커요,아주 만족해요,화면과 비슷해요,155cm,55kg,상의 66,이제 더위가 좀 가시는것같길래 얇은 니트 사봤어용 여리여리핏이라 맘에들고 자주입을것같네요 나중에 기회된다면 다른색상도 구매예정입니다
42OLkElT,상위 20%,24.08.17,라이트그린 Light green,,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,55kg,상의 55,"한여름에 입었는데 생각보다 안 덥고 촤르르 여리여리한 핏이라서 너무 만족해요,,다들 구매하세요!! 말라보이는 효과도 있어요!"
3IvZLmnS,,24.08.08,화이트 White,,정사이즈예요,보통이에요,화면과 비슷해요,157cm,50kg,상의 55,흰색 검은색샀는데 흰색이 더이뻐요! 안에 비쳐서 흰색 속옷 받쳐입으면 됩니다 세탁은 하면 늘어날거같아서 스타일러에 넣어요
YYKWGj2f,,24.08.08,화이트 White,,정사이즈예요,보통이에요,화면과 비슷해요,164cm,56kg,상의 55,한여름에는 덥지만 초여름까지 햇빛가리개 휴가룩으로 딱인 것 같아요. 가성비 좋아서 다른컬러도 추가 구매했어요
enriq,,24.07.31,라이트그린 Light green,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,67kg,상의 77,가슴도 있고 어깨도 넓은 편이라 부해보일까 걱정했는데 핏이 생각보다 예뻐요! 색도 기대하던 색상 그대로라 아주 만족스럽습니다
ouwp3bgZ,,24.07.29,애쉬그레이 Gray,,생각보다 커요,보통이에요,화면과 비슷해요,154cm,51kg,상의 66,키가 작은 편이라 저한텐 기장이랑 소매 길이가 긴 감이 없지않아 있지만 그래도 여리여리한 핏 나오고 시원해서 만족해요~
ouwp3bgZ,,24.07.29,화이트 White,,생각보다 커요,보통이에요,화면과 비슷해요,154cm,51kg,상의 66,키가 작은 편이라 저한텐 기장이랑 소매 길이가 긴 감이 없지않아 있지만 그래도 여리여리한 핏 나오고 시원해서 만족해요~
xIsG0cg0,상위 10%,24.07.28,라이트그린 Light green,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,42kg,상의 44,색깔은 딱 피스타치오 색깔이에요 키가 작아서 길이가 좀 큰데 여름엔 덥고 가을용으로 입기 좋을 거 같아용 여리여리 해보이고 좋아오
BoZJg9pr,,24.07.27,블랙 Black,,정사이즈예요,보통이에요,화면과 비슷해요,160cm,55kg,상의 55,"좋아용 괜츈
딱 가을날씨에 입기 좋음
많이 비치지 않음
엄청 탄탄하거나 내구성이 좋은지는 모르겠음
그냥 딱 가격값 합니다.."
34uz42kd,,24.07.24,베이지 Beige,,생각보다 커요,보통이에요,화면보다 어두워요,167cm,62kg,상의 66,생각보다 크고 팔이 많이 길어요 원단이 덥긴한데 구멍이 있어서 나름 괜찮답니다 수영복 커버용으로 구매했어요
gJn0AN4G,,24.07.23,애쉬그레이 Gray,,생각보다 커요,보통이에요,화면과 비슷해요,160cm,50kg,상의 55,"여리여리 핏에 컬러도 너무 예뻐요!
요즘 같은 장마철에 입기 좋은 것 같아서, 다른 컬러도 구매 예정입니다~~"
yZvZtynQ,,24.07.22,베이지 Beige,,정사이즈예요,보통이에요,화면과 비슷해요,175cm,58kg,상의 44,"여름 밤에 입을려고 샀는데 아직은 ! 두꺼워서 더울꺼같애요 근데 핏이랑 제질은 괜찮아요!
그리고 키가 있는 편인데도핏이 너무 이뻐요"
rX4t0vW6,,24.07.21,화이트 White,,생각보다 커요,아주 만족해요,화면과 비슷해요,148cm,45kg,상의 55,예쁘네용 시원해요~~~ 박시한 루즈핏이라서 팔뚝살부자인 저에겐 아주 좋네요!! 파임도 적당해서 맘에 듭니다요오오
하늘땅맘,,24.07.19,라이트그린 Light green,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,60kg,상의 66,옷감이 까끌거리지 않고 부들부들해서 통통이 뱃살가리개로써 아주 만족해요 색감도 새싹 느낌이라서 좋아요 😀 꾸안꾸룩 추천
QGbvYYdP,,24.07.09,화이트 White,,생각보다 커요,보통이에요,화면과 비슷해요,161cm,45kg,상의 44,"아직 입어보지는 않았지만 생각보다 퀄리티더 좋고 길이도 길고 무난하게 입을수있을것 같아요오!~~~!
입어보고 만에들면 다른색으로 또 구매 예정입니당! 
여러개 쟁여두고 입는 스탈이라ㅔ"
