아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
iaL52PJO,상위 10%,24.12.12,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,172cm,55kg,상의 55,"퀄리티는 후기처럼 진짜 좋아요!
다만 처음에 목 쪽에 실밥이 좀 나와있어서 정리하느라 조금 귀찮았네요 ㅎㅎ 색상도 사진과 유사합니다! 적당히 아방한 핏에 키가 큰편인데도 부담스럽지 않은 크롭이라 마음에 들어서 다른 색상도 구매할까 합니다! ㅎㅎ"
CP5lmsu2,상위 20%,24.12.11,블루,FREE,작아요,보통이에요,화면과 비슷해요,158cm,49kg,상의 55,"색깔도 예쁘고 핏도 너무 예쁜데.. 허리부분이 생각보다 많이 조여서 처음엔 약간 당황했으나 그래도 예뻐서 받자마자 바로 다음날 입었어요ㅎㅎㅎ
입은거 보더니 친구가 핏이 예뿌다고 하네용
저도 넘 맘에 들어서 다른 색상 더 살까 고민중이에요!!"
zzing,상위 1%,24.12.10,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,59kg,상의 66,"핑크 사고 맘에 들어서 차콜도 샀어요
색감은 상세이미지보단 밝고 모델 착샷이랑 비슷한거같아요!
개인적으로는 조금 더 찐했으면 좋았을 거 같지만 그래도 데일리로 입기 좋고 기모가 들어 따뜻하고 시보리 짱짱해요 굿~~"
꾸띠아용용,상위 30%,24.12.04,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,171cm,51kg,상의 55,사진으로 색상이 잘 안담기는데 상세컷이랑 비슷하고 진짜 빈티지한 느낌이 너무 잘 나는 예쁜 색상입니다~모자 모양 잡는 게 조금 어렵긴 한데 안에 기모도 적당히 있어서 따뜻하게 잘 입을 수 있을 것같아요~
kBVjlckD,상위 15%,24.12.03,차콜,FREE,정사이즈예요,보통이에요,화면과 비슷해요,153cm,47kg,상의 44,"핏도예쁘고 항상 여기껀 질이 너무 좋아요..ㅠㅠ 자체제작 퀄리티 진짜좋습니다 .. 
여기서 트레이닝바지, 후드집업까지 샀고 요즘 옷값이올라서 거적데기들도 비싼데 이정도 소재에 이가격이면 혜자예여.. 다들사십셔.."
9L51qp6w,상위 25%,24.11.29,블루,FREE,정사이즈예요,보통이에요,화면과 비슷해요,171cm,57kg,상의 55,"제가 기대한핏은 벙벙한 아방핏 느낌인데
실제로 입어보니까 세미 고릴라핏…
그리고 후드가 너무 자기주장이 세서 편히 안놓여요
덕분에 넥부분이 불편합니다
그리고 피그먼트라 어쩔수없지만 이염 있으니 주의하셔야합니다!
아쉬운 부분이 몇 있지만 따뜻하고 전투용으로 나름 입기좋아요
제가 키가 큰편인데 기장 소매길이 딱좋네요"
onsso,상위 5%,24.11.26,블루,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,49kg,상의 55,컬러 너무 예쁘고 그레이색깔 구매하고 맘에 들어서 블루컬러 재구매했는데 겨울에 휘뚜루 마뚜루 입기 딱좋고 너무 만족스러워요! 코트안에 입어도 좋고 컬러 포인트되서 예뻐요!!!
onef*****,상위 5%,24.11.20,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,47kg,상의 44,생각보다 아래 시보리가 쫀쫀합미다 쫀쫀 스타일 싫으신 분들은 비추.. 전 되려 바람 안 들어와서 좋아요 ㅎㅎ 기모는 부들하나 처음 입어볼때 안에 입은 반팔에 털이 잔뜩 묻어나오긴했어요 빨고 입으시길..
Lillly,,24.11.10,블루,FREE,생각보다 커요,보통이에요,화면보다 밝아요,160cm,50kg,상의 55,"작년에 차콜색 잘 입고 핏이랑 안감 퀄리티, 디자인이 맘에 들어서 블루컬러도 샀어요 사진상에서는 네이비에 가까운줄알았는데 실물은 그냥 블루입이다… 블루가 퍼컬이랑 안맞아서 잘 손은 안가는게 아쉽지만 옷 자체는 예뻐요!"
QfijjjDQ,상위 15%,24.11.08,블루,FREE,정사이즈예요,보통이에요,화면과 비슷해요,153cm,48kg,상의 55,"맨투맨 이염은 처음이라.... 당황스러운데 세탁 몇번을 해도 조금씩 묻어나오네요ㅠㅠ 돌돌이 하니까 저 흰색 플라스틱이 물들었어요ㅋㅋㅋㅋ 
일부러 소매나 밑 시보리, 끈 등 색을 뺀거같은데 예쁘게가 아닌 집에서 세탁 후 색빠진 느낌이 들어서 가격 대비 만족도는 낮아요
차라리 차콜 살걸 후회중"
