파일명,컬럼명,전체 데이터 개수,데이터 타입,NaN 개수,최빈값,최빈값 빈도,2번째 최빈값,2번째 최빈값 빈도,3번째 최빈값,3번째 최빈값 빈도,고유값 개수
p9,리뷰내용,1000,object,0,"너무 좋아요 만족도 100퍼입니당!
색도 맘에들어요
또 구매하러 오겠습니다 
감사합니당 
또 좋은제품 많이 팔아주세용 짱짱맨",3,쫀쫀핏! 약간 파져있어 노출이 있어서 유교걸이라면 좀 힘들 수 있음 그치만 끈 조절도 되고 은근 섹시해서 이너 포인트로 입기 좋을듯! 검흰 둘다 샀는데 갠적으로 검정이 더 날씬해보이고 예쁜듯용 ㅎㅎ,2,"휴가가서..엄청 검색하고~
이제품 리뷰가 너무좋아서 
믿고구매했어여~ 유튜버가 극찬을하길래 (그분은 말랐음) 그래서 나는~다르니까~ 고민했지만
나도 입어보고싶어서ㅋㅋ
질도 좋고~ 쫀쫀해여~제품은 좋아여^^
문제는 제몸일뿐~ 그래도 저는 아주만족합니다♡",2,980
p10,아이디,1000,object,490,HBs99VQO,5,cDZDX2eB,5,jj08****,4,381
p10,리뷰어 등급,1000,object,896,상위 15%,21,상위 20%,18,상위 5%,17,6
p10,작성 날짜,1000,object,490,24.06.22,10,24.06.16,9,24.07.01,9,167
p10,옵션1,1000,object,490,+7cm롱기장,305,크롭기장,172,Ivory (오늘출발),12,10
p10,옵션2,1000,object,490,Ivory (오늘출발),198,Black (오늘출발),101,Ivory,81,14
p10,상품 사이즈,1000,object,490,정사이즈예요,459,작아요,38,생각보다 커요,13,3
p10,퀄리티,1000,object,490,보통이에요,276,아주 만족해요,221,별로예요,13,3
p10,색감,1000,object,490,화면과 비슷해요,507,화면보다 어두워요,3,,0,2
p10,키,1000,object,524,160cm,72,163cm,51,158cm,44,28
p10,몸무게,1000,object,525,50kg,59,48kg,37,52kg,32,36
p10,사이즈,1000,object,529,상의 55,256,상의 44,134,상의 66,75,6
p10,리뷰내용,1000,object,490,"여름에 입기 좋은 소재고 작아보였는데 생각보다 잘 늘어나서 잘 맞음! 근데 캡이 안에서 완전 멋대로 움직여서 BP를 가린다<-의 역할이 안돼서 불편했음
캡 위치 고정후 한번 꼬매서 입으시길 추천!",5,"롱 기장이여도 짧아서 배꼽 보여요
키 161에 상체 짧은 편인데도 셔링때문인지 걷다보면 올라가요
더 긴 버전 나오면 좋겠어요",3,벌써 2개째 구입인데 너무 만족하고 제 교복템이예요~,3,456
p11,아이디,1000,object,0,vmEnhn2n,23,fQv8Gkpi,11,ddar******,11,720
p11,리뷰어 등급,1000,object,595,상위 10%,90,상위 20%,73,상위 15%,69,8
p11,작성 날짜,1000,object,0,24.05.25,34,24.06.13,15,24.08.05,14,299
p11,옵션1,1000,object,10,[TT242] 슬론 골지 나시_아이보리,248,[TT242] 슬론 골지 나시_블랙,168,[TT242] 슬론 골지 나시_멜란지,141,20
p11,옵션2,1000,object,842,Free,158,,0,,0,1
p11,상품 사이즈,1000,object,1,정사이즈예요,939,작아요,49,생각보다 커요,11,3
p11,퀄리티,1000,object,1,아주 만족해요,595,보통이에요,394,별로예요,10,3
p11,색감,1000,object,1,화면과 비슷해요,957,화면보다 밝아요,25,화면보다 어두워요,17,3
p11,키,1000,object,90,160cm,100,163cm,80,158cm,72,30
p11,몸무게,1000,object,93,48kg,81,55kg,74,50kg,72,40
p11,사이즈,1000,object,106,상의 55,471,상의 44,230,상의 66,166,6
p11,리뷰내용,1000,object,0,조이조이에서 기본 반팔티 쫀쫀하게 잘 입고있어서 여름용 이너 나시 믿고 구매했어요. 유교걸이 입기 좋게 목까지 올라오고 끈이 넓어서 좋아요 ㅎㅎ 여름에도 잘 입겠습니다.,11,완전 깔끔해요 제가 원하던 나시에요...불편하지않고 데일리로 입고 남방걸치기 너무 좋을것 같아요 흐물흐물한거같아도 라인 잘 잡아줍니다!,11,"안에 검은 나시입고 입은건데 비침은 저정도 있구요
옆라인 잘 잡아줘요 색도 화면 그대로의 색이에요
앞에 많이 안파여서 너무너무 좋습니다",11,794
p12,아이디,1000,object,0,DoMQWc2H,50,U1eUANcB,25,VOxrUnl4,25,551
p12,리뷰어 등급,1000,object,665,상위 10%,78,상위 5%,63,상위 30%,56,8
p12,작성 날짜,1000,object,0,24.07.30,50,23.09.20,39,24.07.31,30,350
p12,옵션1,1000,object,0,아이보리,445,블랙,198,그레이,121,10
p12,옵션2,1000,object,133,FREE,867,,0,,0,1
p12,상품 사이즈,1000,object,0,정사이즈예요,935,작아요,59,생각보다 커요,6,3
