아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
atyonIEa,,24.08.02,Sky(스카이/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,159cm,48kg,상의 55,"완조니 큽니다… 예…
고거슨 원래 그래오 오버핏! 예…
코디를 잘 혀야 혀요 안그르면 완조니 아부지옷 뺏어입른 사람댑니다
지는 롱스커트에댜가 코디를 했는디요! 
버뮤다 팬치를 입어도 예쁠 거가틉니다
대신에 한번 빨면 다리미질 필수여요~ 안그르면 거즨 그냥 10년 입은 아버지 옷이에요~"
Nm8L3gTB,,25.01.09,Pink(핑크/긴팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,56kg,상의 55,슥슥거리는 재형이고 약간 주름이 많은게 단점이긴 하지만 핏이 아주 마음에 듭니다! 색도 쨍한색아니고 딸기우유색이라 부담스럽디 않게 입을수있어서 좋아용
EJJDBDdz,상위 10%,24.12.06,Pink(핑크/긴팔),,생각보다 커요,보통이에요,화면과 비슷해요,158cm,53kg,상의 55,엉덩이 가리는 길이의 오버핏 셔츠를 찾고 있었는데 생각보다 더 커서 핏이 약간 벙벙하긴 해요. 그리고 약간 종이 바스락거리는 재질인데 한번 빨면 괜찮아질 것 같긴 해요.
m9ZoL7no,상위 15%,24.11.04,White(화이트/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,161cm,55kg,상의 55,오버사이즈로 잘 입었습니다!! ☁️ 이런핏 찾는 분들은 꼭 사세요! 제질도 흐물텅 거리지 않고 빳빳하고 좋아요!!! 고급스러운 원단느낌
ck4yU3b4,,23.06.04,White(화이트/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,55kg,상의 55,160 기준 엉덩이 다 가리는거 같아요 애초에 오버사이즈로 입으려고 산거라 만족하고 입었어요 근데 너무 커서 팔 움직일때마다 소매부분 어정쩡하게 올라가는건 어쩔수 없는거 같아요 ㅠ 잘 입겠습니다아
zMDlofbe,,24.07.24,Pink(핑크/긴팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,166cm,52kg,상의 44,생각보다 좀 더 오버핏이라 단독으로 입긴 좀 어색하고 이너입고 아우터처럼 입으면 딱 예뻐요. 색은 봄라 여쿨라에게 잘 어울리는 색이에요. 색 예쁘고 이너입고 입으면 핏도 예뻐서 만족스러워요
nVoFz3yw,상위 10%,24.07.13,Cream beige(크림베이지/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,168cm,59kg,상의 55,"재질 컬러 다 만족스러웠어요
핏은 단추를 안잠그는게 더 나아요
단추 잠그면 덩치같아 보이는 느낌 ..
길이도 길고 겉에 걸치는 용으로 활용하기 너무 좋을 것 같아요
넣어입으면 또 느낌이 다를 것 같은데
주름질 것 같아 시도는 안했습니다 ㅎㅎ
(스팀다리미가 망가져서..)
그래도 저는 손 많이 갈 것 같아요
입다가 추워지면 긴팔도 사러올까합니다
색상은 진짜 생각이상으로 더더 만족했어요"
ksoo*****,상위 1%,24.07.13,Blue gray(블루그레이/반팔),,생각보다 커요,보통이에요,화면과 비슷해요,168cm,64kg,상의 66,"시원하고 잘 구겨지는 소재 입니당! 한번 세탁하면 엄청 구겨져서 다리미로 잘 펴줘야 해요 
블루그레이로 구입 했는데 밝은 회색이라 마음에 들어요!
외출할 때 후줄근한 느낌으로 입고 있어요!"
A5a9dUp7,,24.07.12,Pink(핑크/반팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,55kg,상의 55,"지인짜 너무 맘에 들어요 🥺💛 롯데월드 가기 전 급하게 필요해서 구매한 옷인데, 색감부터 핏, 기장, 원단 뭐 하나 빠지는 것 없이 완벽하게 마음에 쏙 들었습니다... ❤️ 어느 정도였냐면 구매하고 입어 본 다음 날 다시 들어와서 장바구니에 더 담아 두었답니다 ;-; 키 161, 허리는 26-27 정도 입는 체형인데, 품 넉넉하게 오버핏으로 입고 싶으시다면 진짜진짜 추천이에요!"
NJ6aPSxB,상위 20%,24.07.12,Deep blue(딥블루/반팔),,정사이즈예요,보통이에요,화면과 비슷해요,166cm,65kg,상의 66,"오버핏이여서 그런지 몸 자체가 커보여서 상체 있는 사람들은 감안하고 사야할거 같아요!
색은 너무 이뻐서 맘에 들고요
새옷인데도 실이 이렇게 다 벌어지게(?) 와서 조큼 그렇지만 만족하고 잘 입으려고요!"
